gid,district,state,n_events,n_event_district_records,n_scored_events,mean_hazard_score,median_hazard_score,p95_hazard_score,max_hazard_score,mean_extended_hazard_score,first_year,last_year,active_years,mean_duration_days,p95_duration_days,mean_rainfall_max_mm,max_flood_depth_m,high_confidence_count,low_confidence_count,fatalities_apportioned_sum,injured_apportioned_sum,displaced_apportioned_sum,people_affected_apportioned_sum,houses_damaged_apportioned_sum,crop_area_ha_apportioned_sum,road_length_km_apportioned_sum,bridges_damaged_apportioned_sum,loss_inr_lakh_apportioned_sum,crop_area_km2_apportioned_sum,loss_2026_usd_apportioned_sum,dominant_cause,dominant_cause_count,dominant_cause_share,high_confidence_share,low_confidence_share,freq_class,severity_class,hotspot_score,priority_score,event_rank,hazard_rank,priority_rank
IND.1.1_1,Nicobar Islands,Andaman and Nicobar,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No IFI record,0,0.0,0.0,0.0,,,0.0,0.0,623,676,623
IND.1.2_1,North and Middle Andaman,Andaman and Nicobar,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No IFI record,0,0.0,0.0,0.0,,,0.0,0.0,623,676,623
IND.1.3_1,South Andaman,Andaman and Nicobar,1,1,1,5.02766466631443,5.02766466631443,5.02766466631443,5.02766466631443,4.75894278874003,2013.0,2013.0,1.0,2.0,2.0,,,1.0,0.0,1.0,,,,,,,,,,,Pluvial,1,1.0,1.0,0.0,,,0.0,6.4,607,615,616
IND.2.1_1,Anantapur,Andhra Pradesh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No IFI record,0,0.0,0.0,0.0,,,0.0,0.0,623,676,623
IND.2.2_1,Chittoor,Andhra Pradesh,19,19,19,35.296462736149955,30.8604259088229,92.58261522738158,99.2254619975431,35.625178929145356,1970.0,2021.0,15.0,8.368421052631579,23.799999999999983,,,13.0,1.0,164.2381313131313,,,,319980.35732323234,313242.35732323234,216.12833333333333,2634.0,23405.632272727275,3132.4235732323236,24365080.409075864,Pluvial,13,0.6842105263157895,0.6842105263157895,0.05263157894736842,0.0,2.0,3.0,66.9,419,31,228
IND.2.3_1,East Godavari,Andhra Pradesh,38,38,38,36.80238398407405,29.053914141570452,89.45198442840694,99.2254619975431,37.378245267795265,1970.0,2020.0,24.0,7.578947368421052,31.0,,,24.0,0.0,264.2849567099567,1.0833333333333333,4.0,2335.625,716168.6073232323,433007.2315801283,382.79499999999996,4174.5,55215.14282828282,4330.072315801283,57478532.48029175,Pluvial,18,0.47368421052631576,0.631578947368421,0.0,2.0,2.0,9.0,84.0,170,42,55
IND.2.4_1,Guntur,Andhra Pradesh,33,33,33,39.59462630197563,30.8604259088229,84.13089783351688,99.2254619975431,40.38810425905986,1970.0,2022.0,24.0,8.454545454545455,31.0,,,22.0,0.0,217.05330225330226,107.58333333333333,,,458275.1222804973,372155.261748558,,4173.0,347777.35128982126,3721.5526174855804,362033506.7173365,Pluvial,15,0.45454545454545453,0.6666666666666666,0.0,1.0,2.0,6.0,78.3,216,73,119
IND.2.5_1,Krishna,Andhra Pradesh,37,37,37,37.797089151407846,32.1733971206381,89.59272188213642,99.2254619975431,38.788723241827284,1970.0,2020.0,26.0,8.486486486486486,31.0,,,27.0,0.0,242.72662337662337,0.8333333333333333,,335.625,701054.5517676767,338991.02398989897,382.79499999999996,2639.6666666666665,354886.7594949495,3389.91023989899,369434345.1377852,Pluvial,23,0.6216216216216216,0.7297297297297297,0.0,2.0,2.0,9.0,83.3,179,40,61
IND.2.6_1,Kurnool,Andhra Pradesh,34,34,34,32.057987488669895,24.04700278899955,82.31708954253774,99.2254619975431,32.28081010156971,1970.0,2022.0,24.0,7.029411764705882,30.0,,,24.0,3.0,202.41233766233768,107.75,,,276642.7462121212,271753.1863881212,,4177.166666666667,327022.4656060606,2717.5318638812123,340427832.8063073,Pluvial,19,0.5588235294117647,0.7058823529411765,0.08823529411764706,1.0,2.0,6.0,77.9,207,111,124
IND.2.7_1,Nellore,Andhra Pradesh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No IFI record,0,0.0,0.0,0.0,,,0.0,0.0,623,676,623
