state,districts,districts_with_records,n_events,n_event_district_records,mean_hazard_score,p95_hazard_score,first_year,last_year,dominant_cause,fatalities_apportioned_sum,injured_apportioned_sum,displaced_apportioned_sum,people_affected_apportioned_sum,houses_damaged_apportioned_sum,crop_area_ha_apportioned_sum,road_length_km_apportioned_sum,bridges_damaged_apportioned_sum,loss_inr_lakh_apportioned_sum,crop_area_km2_apportioned_sum,loss_2026_usd_apportioned_sum
Maharashtra,36,33,909,1937,18.21,60.83,1967.0,2023.0,Pluvial,6923.08,1510.68,113.0,10273.0,62312028.21,952190.65,6.15,12793.2,444447.55,9521.907,462666428.63
Assam,27,26,841,3339,23.82,77.67,1970.0,2023.0,Pluvial,3473.67,319.11,36.0,78730062.35,3518447.0,30552815.57,19.55,11739.0,6971.27,305528.156,7257037.63
Kerala,14,14,587,1462,22.2,61.64,1968.0,2023.0,Pluvial,2224.0,896.0,78.0,500000.0,162731456.5,270243.96,,127996.0,55564.6,2702.44,57842314.67
Uttar Pradesh,75,71,423,2639,24.95,96.08,1967.0,2023.0,Pluvial,8084.29,430.04,3.0,18168584.95,11845571.3,675669.76,,35250.29,115136.38,6756.698,119856072.42
Himachal Pradesh,15,15,356,958,15.83,58.87,1969.0,2023.0,Pluvial,1976.53,594.67,24.0,902758.0,6035705.17,84888.0,0.35,46610.0,58629.0,848.88,61032331.14
West Bengal,20,14,309,589,22.14,61.75,1968.0,2023.0,Pluvial,4888.69,479.0,,17165771.0,445782.79,1848471.22,81.02,89117.0,27918.86,18484.712,29063315.23
Karnataka,30,22,303,728,24.83,68.34,1969.0,2023.0,Pluvial,2203.37,431.0,53.0,700312.0,69288954.38,1047044.95,1209.0,32715.0,2446275.0,10470.45,2546553170.76
Rajasthan,33,32,252,794,18.52,56.96,1967.0,2023.0,Pluvial,2512.18,1209.73,2.0,401047.0,174910.49,,,1040.0,40634.29,,42299978.56
Madhya Pradesh,51,49,235,857,16.23,36.56,1967.0,2023.0,Pluvial,1245.98,258.2,1.0,6865.0,21110210.83,62940.0,,2505.93,6078.98,629.4,6328170.71
Jammu and Kashmir,22,19,223,501,20.4,97.08,1969.0,2023.0,Pluvial,1820.97,388.0,61.0,160334.0,7129.0,,1792.0,52.0,16402.0,,17074353.91
Tamil Nadu,32,32,168,646,34.03,83.4,1969.0,2022.0,Pluvial,2120.0,397.0,,116375.0,824775.0,606184.14,576.0,9105.0,236919.69,6061.841,246631547.06
Bihar,38,38,167,1773,31.14,83.58,1967.0,2023.0,Pluvial,5349.7,210.0,,157046980.29,7116791.89,316413.2,28.3,106.0,146287.24,3164.132,152283874.41
Telangana,10,10,164,284,24.16,64.29,1969.0,2023.0,Pluvial,1158.22,16.92,3.0,9678.12,35745782.76,736658.96,1000.0,4637.0,87392.89,7366.59,90975315.99
Gujarat,33,33,156,908,32.98,79.51,1968.0,2023.0,Pluvial,4574.88,164.83,2.0,231619.0,47846844.96,35368.68,1451.01,11665.0,244915.8,353.687,254955435.12
Punjab,22,19,147,622,16.25,72.37,1969.0,2023.0,Pluvial,908.4,162.0,,100.0,7679263.0,117971.71,25.01,58.0,95176.59,1179.717,99078086.91
Odisha,30,28,139,767,31.85,88.41,1967.0,2023.0,Pluvial,2722.67,20.0,,5710031.0,1980804.51,1203348.87,740.0,113204.46,15300.85,12033.489,15928065.36
Uttarakhand,16,16,134,299,23.6,65.28,1978.0,2023.0,Pluvial,6787.76,243.23,272.0,913302.05,2501083.37,73183.24,,49055.71,17943.05,731.832,18678574.92
Arunachal Pradesh,22,21,113,505,10.01,28.7,1973.0,2023.0,Pluvial,452.26,2061.0,6.0,,2836.0,,0.15,2653.0,9.5,,9889.43
Andhra Pradesh,13,11,109,318,36.17,91.84,1970.0,2022.0,Pluvial,2091.5,441.08,15.0,155006.88,4382693.24,3293044.25,2314.77,32469.0,1559989.39,32930.442,1623936772.22
Haryana,21,19,88,382,12.59,41.26,1967.0,2023.0,Pluvial,445.5,73.0,,,1264672.0,227216.35,27.0,194.0,71182.36,2272.164,74100280.86
Chhattisgarh,27,21,77,125,14.16,39.49,1978.0,2023.0,Pluvial,201.11,203.5,,,3022253.48,11100.82,,658.0,1537.42,111.008,1600442.21
Tripura,8,8,46,186,18.61,53.35,1976.0,2019.0,Pluvial,227.0,120.0,,362000.0,8540.0,,,176295.0,6405.0,,6667554.98
Meghalaya,10,9,46,90,14.78,59.82,1985.0,2023.0,Landslide-related,160.0,16.0,4.0,7.0,1090.0,12044.5,,1036.0,489.0,120.445,509045.18
Jharkhand,24,24,32,128,14.36,26.89,1975.0,2022.0,Pluvial,186.83,27.0,,11764.71,51300.11,21176.47,,1211.0,291.3,211.765,303241.03
Goa,2,2,31,35,4.65,16.96,1980.0,2022.0,Pluvial,10.0,8.0,,,353.0,,,,29.0,,30188.77
Mizoram,8,7,26,63,15.61,28.58,1991.0,2023.0,Landslide-related,213.0,53.0,11.0,,584.0,,,,,,
Sikkim,4,2,21,36,12.22,46.56,1969.0,2023.0,Pluvial,53.4,31.0,,26733.33,1.73,78754.0,,4.0,1508.0,787.54,1569816.22
Chandigarh,1,1,19,19,5.39,16.87,1980.0,2023.0,Pluvial,17.0,13.0,,,50.0,,,,,,
Manipur,9,9,17,62,13.22,48.42,1980.0,2018.0,Fluvial,22.0,5.0,7.0,700080.0,412.0,,0.0,,17.0,,17696.87
NCT of Delhi,1,1,16,16,10.46,31.28,1969.0,2023.0,Pluvial,6.0,15.0,,3366.67,0.67,,,,,,
Nagaland,11,11,15,28,11.84,49.59,1981.0,2022.0,Pluvial,18.0,2.0,,29.0,2080.0,,8.0,41.0,,,
Puducherry,4,4,6,9,3.69,7.76,1985.0,2021.0,Pluvial,6.0,,,,,,,,,,
Andaman and Nicobar,3,1,1,1,5.03,5.03,2013.0,2013.0,Pluvial,1.0,,,,,,,,,,
Dadra and Nagar Haveli,1,0,0,0,,,,,No IFI record,,,,,,,,,,,
Daman and Diu,2,0,0,0,,,,,No IFI record,,,,,,,,,,,
Lakshadweep,1,0,0,0,,,,,No IFI record,,,,,,,,,,,
